state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Kukste,12,5,0,0,0,17,16,17,40,3,0,0,76,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Barchey,2,0,0,0,0,2,12,20,40,0,0,0,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Toumel,10,0,0,0,0,10,81,49,101,34,5,0,270,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Poyan,46,4,0,16,0,66,68,48,184,125,47,0,472,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Shilikchey,12,0,0,0,0,12,100,13,132,35,10,0,290,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Hardas,12,0,0,0,0,12,22,10,95,31,9,0,167,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Phultuks,1,0,0,0,0,1,11,11,12,12,12,0,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Derchiks,0,1,0,0,0,1,4,0,7,1,1,0,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Garkon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Lalung,27,0,0,0,0,27,29,33,88,14,33,17,214,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Apati,42,0,0,0,0,42,79,71,182,49,42,0,423,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Yourbaltak,3,0,0,0,0,3,161,21,222,0,38,0,442,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Akchamal,45,0,0,0,0,45,110,119,222,32,21,0,504,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Staktse,14,8,0,0,0,22,9,30,109,36,0,0,184,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Bodhkharbu,12,5,0,0,0,17,13,23,37,12,1,0,86,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
